No|Pengguna|PLK|DPB|Tgl Masuk|Divisi|Kode Proyek|Product|Nama Proyek|Description|Account|Unit|Cur|Unit price|Order|Curr. amount|Total (Rupiah)|Tgl Pengajuan|Tgl Kebutuhan|SPPH|PO|Jenis Order|Supplier|Order|Cur|Harga|Total|Tanggal PO|Tanggal Kirim|ETA|Barang Tiba|Negosiasi|Efisiensi|BA|Jml Brg|delivery time Amd|Status|Keterangan
1|DADANG|0|110005666||Unit Bisnis Energi & Transportasi|18116JN123|N15105119|PEMELIHARAAN SISTEM PROCESSING INA TEWS 2016|JS SUBKON; JASA PENYELENGARAAN PELATIHAN TSUNAMI MODELLING AWI UNTUK OPERATOR BMKG|2151|LOT|IDR|1,82E+08|1|1,82E+08|1,82E+08|||150001490|230001454|SPK|ANUGRAH MANDIRI JAYA, CV.|1|IDR|181000000|181000000|||TIDAK|19/08/2016 0:00:00|TIDAK|1000000|340700277|1|||
2|DADANG|0|110005665||Unit Bisnis Energi & Transportasi|18116JN123|N15105118|PEMELIHARAAN SISTEM PROCESSING INA TEWS 2016|JS SUBKON; JASA PENYELENGARAAN PELATIHAN TOAST UNTUK OPERATOR BMKG|2151|LOT|IDR|1,975E+08|1|1,975E+08|1,975E+08|||150001489|230001457|SPK|RIFETA, CV.|1|IDR|197000000|197000000|||TIDAK|19/08/2016 0:00:00|TIDAK|500000|310003263|1|||
3|DADANG|0|110005664||Unit Bisnis Energi & Transportasi|18116JN123|N15105117|PEMELIHARAAN SISTEM PROCESSING INA TEWS 2016|JS SUBKON; JASA PENYELENGARAAN PELATIHAN SEISCOMP3 UNTUK OPERATOR BMKG|2151|LOT|IDR|1,975E+08|1|1,975E+08|1,975E+08|||150001491|230001455|SPK|ANUGRAH MANDIRI JAYA, CV.|1|IDR|196500000|196500000|||TIDAK|19/08/2016 0:00:00|TIDAK|1000000|340700278|1|||
4|IIS|0|110005670||Unit Bisnis ICT|NONE|N15105121|No Project|JS SUBKON; JASA RENOVASI RUANGAN LANTAI 4 UB ICT|B2200|LOT|IDR|7,27E+07|1|7,27E+07|7,27E+07|||150001480|230001443|SPK|KOPERASI KARYAWAN  LEN|1|IDR|72700000|72700000|||TIDAK|15/08/2016 0:00:00|TIDAK|0|340700267|1|||
5|RENNI|0|110005669||Unit Bisnis ELHAN|11616UD132|N15105120|HARKOMLEK KELAS MANDAU|JS SUBKON; SOFTWARE SERVER INTERCOM, TERMINAL MANAJEMEN KELAS MANDAU, SOFTWARE APLIKASI VTU MEDIUM, VTU LIMITED FUNCTION DAN APLIKASI RADIO INTERFACE SOFTWARE|2131|LOT|IDR|1E+09|1|1E+09|1E+09|||140000931|220000904|SPERJ|TALI CAHAYA BUANA, PT|1|IDR|1764000000|1764000000|||TIDAK|05/10/2016 0:00:00|TIDAK|-764000000|340900209|1|||
6|RENNI|0|110005668||Unit Bisnis ELHAN|11614UD104|N12111765|STARSTREAK & ACCESSORIES PROJECT|FASTENING SYSTEM; BAUD; ISO10642 SCREW HEX SKT CSK HD M6X16; 99229782	|2131|UN|IDR|45300|700|3,171E+07|3,171E+07|||140000946|220000921|SPK|DAYA SENTRA TEKNIK, CV.|700|IDR|43900|30730000|||TIDAK|23/08/2016 0:00:00|TIDAK|980000|310003269|700|||
7|RENNI|0|110005668||Unit Bisnis ELHAN|11614UD104|N13114673|STARSTREAK & ACCESSORIES PROJECT|BRG JD MEKANIK; REAR ANTILUCE WASHER; DIMENSI 35MM ODX15MMX6MM; MATERIAL DC20 NEOPRENE|2131|UN|IDR|47200|75|3540000|3540000|||140000946|220000921|SPK|DAYA SENTRA TEKNIK, CV.|75|IDR|45700|3427500|||TIDAK|23/08/2016 0:00:00|TIDAK|-27190000|310003269|75|||
8|RENNI|0|110005668||Unit Bisnis ELHAN|11614UD104|N12111764|STARSTREAK & ACCESSORIES PROJECT|FASTENING SYSTEM; BAUD; ISO 4017 SCREW HEX HD M8X60 STEEL, ISO 4042 FE/ZN12C2C, 99229338	|2131|UN|IDR|66300|400|2,652E+07|2,652E+07|||140000946|220000921|SPK|DAYA SENTRA TEKNIK, CV.|400|IDR|64300|25720000|||TIDAK|23/08/2016 0:00:00|TIDAK|-4210000|310003269|400|||
9|RENNI|0|110005667||Unit Bisnis ELHAN|11614UD104|N13114674|STARSTREAK & ACCESSORIES PROJECT|BRG JD MEKANIK; SHS, ALU 6061T6, 3MMX38,1MMX38,1MMX6M|2131|UN|IDR|2500000|35|8,75E+07|8,75E+07|||140000944|220000924|SPK|TALI CAHAYA BUANA, PT|35|IDR|2400000|84000000|||TIDAK|19/08/2016 0:00:00|TIDAK|3500000|310003260|35|||
10|DADI|0|110005672||Divisi Keuangan & Akuntansi|NONE|N19100079|No Project|FILE ODNER; F4, (T=75 MM), BIRU , PLASTIK , BANTEX|2241|BU|IDR|29560|60|1773600|1773600|||130003590|210003420|SP|KOPERASI KARYAWAN  LEN|60|IDR|29500|1770000|||TIDAK|27/07/2016 0:00:00|TIDAK|1721100|310003230|60|||
11|DADI|0|110005672||Divisi Keuangan & Akuntansi|NONE|N19120019|No Project|KERTAS; HVS, 80 GRAM, A4, PUTIH, BOLA DUNIA|2241|RIM|IDR|42996|10|429960|429960|||130003590|210003420|SP|KOPERASI KARYAWAN  LEN|10|IDR|40000|400000|||TIDAK|27/07/2016 0:00:00|TIDAK|377460|310003230|10|||
12|DADI|0|110005672||Divisi Keuangan & Akuntansi|NONE|N19120020|No Project|KERTAS; HVS, 80 GRAM, F4, PUTIH, BOLA DUNIA|2241|RIM|IDR|47296|5|236480|236480|||130003590|210003420|SP|KOPERASI KARYAWAN  LEN|5|IDR|44000|220000|||TIDAK|27/07/2016 0:00:00|TIDAK|183980|310003230|5|||
13|DADI|0|110005672||Divisi Keuangan & Akuntansi|NONE|N19140004|No Project|AMPLOP; LOGO PT.LEN, 24X35 CM, PUTIH, CEASING|2241|BU|IDR|4300|20|86000|86000|||130003590|210003420|SP|KOPERASI KARYAWAN  LEN|20|IDR|4300|86000|||TIDAK|27/07/2016 0:00:00|TIDAK|33500|310003230|20|||
14|DADI|0|110005672||Divisi Keuangan & Akuntansi|NONE|N21110001|No Project|TISSUE; BOX, TESSA|2241|BU|IDR|9649,53|10|96495,3|96495,3|||130003590|210003420|SP|KOPERASI KARYAWAN  LEN|10|IDR|9500|95000|||TIDAK|27/07/2016 0:00:00|TIDAK|43995,3|310003230|10|||
15|DADI|0|110005672||Divisi Keuangan & Akuntansi|NONE|N21140004|No Project|PENGHARUM; PEWANGI STELLA|2241|BU|IDR|10517,13|5|52585,65|52585,65|||130003590|210003420|SP|KOPERASI KARYAWAN  LEN|5|IDR|10500|52500|||TIDAK|27/07/2016 0:00:00|TIDAK|85,65|310003230|5|||
